n,k,t,avg_time
50,2,1,0.000204
50,2,2,0.000254
50,2,3,0.000502
50,2,4,0.002058
50,2,5,0.01049
50,2,6,0.0888
50,6,1,0.000218
50,6,2,0.000278
50,6,3,0.000438
50,6,4,0.00124
50,6,5,0.005072
50,6,6,0.028174
50,10,1,0.000216
50,10,2,0.000282
50,10,3,0.000434
50,10,4,0.001146
50,10,5,0.004018
50,10,6,0.023302
50,20,1,0.000288
50,20,2,0.000322
50,20,3,0.00051
50,20,4,0.001146
50,20,5,0.003724
50,20,6,0.015832
75,2,1,0.000422
75,2,2,0.000482
75,2,3,0.000772
75,2,4,0.002196
75,2,5,0.009612
75,2,6,0.06359
75,6,1,0.000414
75,6,2,0.000478
75,6,3,0.000696
75,6,4,0.0016
75,6,5,0.005798
75,6,6,0.027354
75,10,1,0.00046
75,10,2,0.000504
75,10,3,0.000708
75,10,4,0.00151
75,10,5,0.00511
75,10,6,0.022542
75,20,1,0.000474
75,20,2,0.000548
75,20,3,0.000754
75,20,4,0.00148
75,20,5,0.004646
75,20,6,0.017586
100,2,1,0.000648
100,2,2,0.000746
100,2,3,0.001044
100,2,4,0.002368
100,2,5,0.009904
100,2,6,0.059946
100,6,1,0.000664
100,6,2,0.000756
100,6,3,0.000992
100,6,4,0.002064
100,6,5,0.006762
100,6,6,0.027766
100,10,1,0.000682
100,10,2,0.000772
100,10,3,0.000982
100,10,4,0.001912
100,10,5,0.005846
100,10,6,0.022652
100,20,1,0.000732
100,20,2,0.0008
100,20,3,0.001058
100,20,4,0.001946
100,20,5,0.00541
100,20,6,0.02025
125,2,1,0.001514
125,2,2,0.001798
125,2,3,0.00247
125,2,4,0.004048
125,2,5,0.011338
125,2,6,0.057704
125,6,1,0.001046
125,6,2,0.00114
125,6,3,0.001292
125,6,4,0.002558
125,6,5,0.007864
125,6,6,0.029688
125,10,1,0.001402
125,10,2,0.0015
125,10,3,0.001706
125,10,4,0.003746
125,10,5,0.01037
125,10,6,0.027852
125,20,1,0.001214
125,20,2,0.001282
125,20,3,0.001478
125,20,4,0.002484
125,20,5,0.006382
125,20,6,0.02319
150,2,1,0.001486
150,2,2,0.001568
150,2,3,0.002056
150,2,4,0.003684
150,2,5,0.014846
150,2,6,0.073948
150,6,1,0.001582
150,6,2,0.00185
150,6,3,0.002074
150,6,4,0.003384
150,6,5,0.01131
150,6,6,0.036664
150,10,1,0.001556
150,10,2,0.00169
150,10,3,0.001996
150,10,4,0.003064
150,10,5,0.0078
150,10,6,0.02925
150,20,1,0.00159
150,20,2,0.001588
150,20,3,0.001922
150,20,4,0.003038
150,20,5,0.007502
150,20,6,0.0256
