n,k,t,avg_time
50,2,1,0.000232
50,2,2,0.000272
50,2,3,0.000598
50,2,4,0.002458
50,2,5,0.019306
50,2,6,0.147446
50,6,1,0.000228
50,6,2,0.00029
50,6,3,0.000742
50,6,4,0.00283
50,6,5,0.01921
50,6,6,0.182492
50,10,1,0.000284
50,10,2,0.000368
50,10,3,0.000798
50,10,4,0.003964
50,10,5,0.030214
50,10,6,0.166184
50,20,1,0.000264
50,20,2,0.000338
50,20,3,0.00071
50,20,4,0.003096
50,20,5,0.019162
50,20,6,0.13913
75,2,1,0.000416
75,2,2,0.000502
75,2,3,0.000856
75,2,4,0.00279
75,2,5,0.017814
75,2,6,0.101246
75,6,1,0.000462
75,6,2,0.000556
75,6,3,0.000926
75,6,4,0.002694
75,6,5,0.017228
75,6,6,0.100068
75,10,1,0.000418
75,10,2,0.000516
75,10,3,0.000888
75,10,4,0.003426
75,10,5,0.015152
75,10,6,0.127932
75,20,1,0.00046
75,20,2,0.000566
75,20,3,0.00093
75,20,4,0.002868
75,20,5,0.013164
75,20,6,0.10556
100,2,1,0.000644
100,2,2,0.000752
100,2,3,0.00114
100,2,4,0.002938
100,2,5,0.01147
100,2,6,0.092534
100,6,1,0.000644
100,6,2,0.000758
100,6,3,0.001148
100,6,4,0.002948
100,6,5,0.014244
100,6,6,0.071856
100,10,1,0.000668
100,10,2,0.000752
100,10,3,0.00115
100,10,4,0.003336
100,10,5,0.013358
100,10,6,0.089032
100,20,1,0.000708
100,20,2,0.000782
100,20,3,0.001242
100,20,4,0.003266
100,20,5,0.015082
100,20,6,0.090576
125,2,1,0.001098
125,2,2,0.001206
125,2,3,0.001472
125,2,4,0.003364
125,2,5,0.013346
125,2,6,0.07482
125,6,1,0.001072
125,6,2,0.001168
125,6,3,0.001494
125,6,4,0.003204
125,6,5,0.014128
125,6,6,0.06844
125,10,1,0.001038
125,10,2,0.001144
125,10,3,0.00146
125,10,4,0.003306
125,10,5,0.014818
125,10,6,0.08299
125,20,1,0.001362
125,20,2,0.001564
125,20,3,0.001986
125,20,4,0.0043
125,20,5,0.019092
125,20,6,0.072038
150,2,1,0.001442
150,2,2,0.00153
150,2,3,0.00202
150,2,4,0.004258
150,2,5,0.0133
150,2,6,0.079184
150,6,1,0.001392
150,6,2,0.00154
150,6,3,0.002196
150,6,4,0.00467
150,6,5,0.018716
150,6,6,0.077478
150,10,1,0.00141
150,10,2,0.001562
150,10,3,0.002066
150,10,4,0.004108
150,10,5,0.01403
150,10,6,0.09059
150,20,1,0.00156
150,20,2,0.001678
150,20,3,0.00205
150,20,4,0.004034
150,20,5,0.014
150,20,6,0.069536
